Country Name,Country Code,Indicator Name,Indicator Code,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,4.515720957,4.224454369,4.095236618,4.12542378,3.983259925,4.005024028,4.180525273,4.29582729,4.356891183,4.419610574,4.534545359,4.511798684,4.73040424,5.086633039,5.249265585,5.266543915,5.365000484,5.586080499,5.625221026,5.875925115,5.956979597,5.751963519,5.800097335,5.729937934,5.704803267,5.839546416,5.896558655
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,15.45288167,15.12796621,15.31776851,15.7014518,15.57658628,15.59651881,16.50180039,16.51427321,16.93569585,17.19029769,17.20060983,16.73336743,17.37045177,16.90195895,17.02651535,17.16971145,17.65139831,17.86526004,18.16087566,18.20018196,17.74084505,17.53887776,17.07290468,16.09805289,15.39110908,15.33978358,15.53922046
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,7.527096778,7.958754933,7.240734735,7.237860397,7.204050771,7.538586345,7.957359181,7.881156109,7.998932904,7.759483224,7.771971173,8.191402004,8.291402441,8.847570801,8.827850116,8.971590197,8.685610489,8.368402844,8.269096686,7.526222825,8.078585585,7.753378093,7.393167086,7.373937404,6.892179661,7.088592233,7.033335706
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,7.61863709,6.464585857,5.525358563,4.337414444,4.026472755,3.803022741,4.00297561,3.579835395,3.666271029,3.547105484,3.623944346,3.718169927,3.863229639,4.091801927,4.616299863,3.5553401,4.051383481,3.565668218,3.388225879,3.624593021,3.807914534,3.769492421,3.920792371,3.896406086,3.855347182
Burundi,BDI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.038429978,0.042831657,0.038053034,0.039212129,0.039784593,0.039811807,0.039936892,0.040730269,0.040312586,0.040373064,0.04254013,0.031468942,0.031724704,0.023352787,0.027765918,0.020912001,0.024582112,0.023786811,0.023465617,0.02270678,0.035505087,0.047483001,0.042040072,0.04304943,0.039112493,0.039701654,0.047201096
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,10.63967167,11.09099988,11.14648251,10.67503455,11.1051094,11.08115205,11.62383425,11.32885202,11.60191455,11.17302675,11.2296677,11.13371551,10.3854951,10.88211417,10.66129022,10.35854254,10.16355441,9.755475498,9.7523272,9.197989292,10.11963524,9.056655467,8.565189829,8.737190336,8.347134375,8.811835806,8.550513254
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.142157591,0.159512217,0.168501162,0.205206743,0.221397671,0.224780453,0.207591276,0.193809928,0.187593089,0.234411619,0.232860969,0.256497596,0.285000234,0.313037269,0.323642156,0.299985405,0.471266952,0.531738861,0.507237101,0.521063069,0.553283259,0.534885417,0.493745251,0.503981273,0.522592065,0.573491445,0.595647727
Burkina Faso,BFA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.066173051,0.069287423,0.067840845,0.0656434,0.065745043,0.062147134,0.068229866,0.075639822,0.078563833,0.08255275,0.089716851,0.083504269,0.081733493,0.085194017,0.084705971,0.083875344,0.098375854,0.111924126,0.121819571,0.125211461,0.134881687,0.136812099,0.162867174,0.171614339,0.168273976,0.183849877,0.183287285
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.137265538,0.140256964,0.1431025,0.146247155,0.156291442,0.183461551,0.184269584,0.194915272,0.192103588,0.205333826,0.216415811,0.250764528,0.253743015,0.260732325,0.275079009,0.284106739,0.309163115,0.312205696,0.343895204,0.373296973,0.408083791,0.423609216,0.448127943,0.454664317,0.477335997,0.518850859,0.533298791
Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,8.54301079,6.666757565,6.347137362,8.00979638,6.414520789,6.900326395,6.763241038,6.209849583,5.934325293,5.356718076,5.328034342,5.800066474,5.695266947,6.084370085,6.064891808,6.256282044,6.445333272,6.925435282,6.772087541,5.731193724,5.964900206,6.71637861,6.140537331,5.450695963,5.859433041,6.232579562,5.851501062
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,25.05885496,23.30000981,20.84167995,27.30708305,26.90951321,26.28778759,26.99557258,29.111344,29.9896904,28.30868397,28.31587801,20.21319771,21.61354479,21.57701475,21.63494826,22.35673846,20.33953035,25.91525689,26.70698996,23.81076404,23.58551891,22.57032933,21.19618937,23.88377367,23.47736317,23.97708643,22.22898097
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,7.18449944,7.066837032,6.961026805,6.493402049,6.341070742,6.216718299,6.094922846,5.321372643,6.574420933,6.646594936,6.545336201,6.179969466,6.269394786,6.277004046,6.18652593,5.632699109,5.372561044,5.325692302,6.871337083,4.594186565,6.725653769,5.007264091,5.244565217,7.820019718,6.341979802,5.389678412,4.725277895
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,3.555547236,3.089893029,0.820680123,0.895429676,1.130952802,2.246682477,2.836905989,2.772275879,3.67562599,3.558116177,3.804157433,3.851050178,4.14708142,4.303598542,4.664794722,4.691454151,5.368241131,5.541816272,5.741760834,6.5243639,6.174441854,6.187911438,5.578265037,5.414911991,6.451938373
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,8.556931578,7.497670183,6.361224895,5.961662841,5.921699705,5.886700306,5.770180554,5.596280066,5.389745291,5.314049012,5.311929657,5.464145912,5.977157999,6.122471586,6.462446658,6.330314039,6.623163555,6.439684267,6.64269666,6.762517349,6.653257675,6.661111872,6.628420401,6.141410885,6.133707568
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,1.66191243,2.129656565,1.830442972,1.911229519,1.854591432,1.824968714,1.441646698,1.754228721,1.608584806,1.457667331,1.601342418,1.753974508,1.649170281,1.606035075,1.419035529,1.485923185,1.523044393,1.594214531,1.422230406,1.864645405,1.671656371,1.821080012,1.410384615,1.484980403,1.400941234,1.605245295,1.542847448
Bermuda,BMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,8.468108418,9.133172938,7.885348579,9.150381939,8.963503034,8.899591604,8.781918874,8.667884358,8.54427908,8.37692747,8.36199117,8.448227313,8.85974059,8.859865772,9.147364292,9.088334321,10.11617563,11.24603933,9.943759288,7.262934975,9.347122413,6.872359209,5.659125282,7.841617821,9.964367957,8.543985775,9.486460947
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.838648581,0.856676355,0.929434346,1.070587391,1.15655878,1.292196961,1.263301542,1.378568302,1.357332766,1.264809558,1.314642306,1.004764671,1.189084544,1.24555305,1.225562819,1.319869705,1.602553194,1.290181483,1.361717085,1.403395887,1.511526891,1.595994166,1.813416029,1.816390726,1.898829283,1.84670254,1.958514344
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,1.40189577,1.446313753,1.430744302,1.471087009,1.518847687,1.594541722,1.729996821,1.797434636,1.839317927,1.85802905,1.876441307,1.90429564,1.850682075,1.769005571,1.835946431,1.865977058,1.847654542,1.910334175,2.018593476,1.893620024,2.144736395,2.224711944,2.358548364,2.505408788,2.631289885,2.466788048,2.242393446
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,4.103550296,4.59241328,3.710437224,4.169035221,2.796351734,3.033370307,3.089601534,3.322610716,4.084489262,4.298150127,4.240789643,4.360029358,4.398924751,4.571569174,4.648955261,4.830535279,4.902954119,4.881438823,5.789738021,5.73979737,5.237995825,5.403566242,5.18317589,5.094918676,4.40310366,4.395403121,4.465128973
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,23.9391584,19.94596747,19.03843121,17.63975916,16.21590995,16.11873557,15.98629121,16.22160675,16.51128957,11.98314583,14.14342743,13.25380109,12.62579373,12.99511737,13.90557072,13.70929354,13.13240048,22.44413479,24.03617354,20.47909645,21.10681443,24.62749182,24.22676314,19.29518002,22.09494374,17.04874345,18.25638399
Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.241793581,0.3498051,0.40476431,0.344257186,0.399863131,0.466417268,0.55533414,0.711188326,0.675732711,0.666287696,0.670087865,0.637855344,0.678613287,0.601588942,0.482186549,0.610470467,0.596840632,0.590138612,0.627898805,0.573033791,0.711464428,1.057842371,1.191699343,1.295927562,1.443226953,1.466042293,1.712274453
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,2.100304176,1.987883033,2.038486191,2.285470049,2.114703091,2.074143022,1.832610502,1.81871107,2.122257308,1.963003582,2.300613874,2.299158405,2.334035534,2.207306512,2.207851253,2.276743421,2.253041002,2.256363909,2.35260558,1.989774241,2.299366163,2.001436934,2.491951415,2.748646327,3.283177265,2.56084596,2.935373787
Central African Republic,CAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.070551039,0.071339711,0.0731111,0.073432718,0.074860248,0.072824403,0.07094059,0.07242259,0.071746964,0.074205442,0.073532858,0.066009622,0.064618813,0.060468193,0.059266517,0.058114364,0.060551681,0.060272129,0.059209298,0.058332152,0.060186452,0.063071953,0.066125464,0.064305245,0.064892841,0.065290207,0.065457798
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,15.71554138,15.22180457,15.54314788,15.5337111,15.75307185,15.95907715,16.1910295,16.56173401,16.79757271,16.95288535,17.41463895,17.01842806,16.56039221,17.47884132,17.32455499,17.41190097,17.56133592,17.38715721,16.89745662,15.82542959,15.5055134,15.22379395,14.91382201,14.7988829,15.25547233,15.38895031,15.09005647
Central Europe and the Baltics,CEB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,9.014576307,8.239720868,7.895818277,7.840458097,7.356458033,7.546965762,7.676916778,7.491909804,7.069992129,6.696604498,6.603403707,6.830678998,6.764732511,7.006131218,6.932459738,6.98785368,7.252009717,7.275800003,7.152721928,6.513584199,6.836075428,6.882900239,6.529346338,6.371815607,6.128367841,6.236442512,6.377623318
Switzerland,CHE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,6.345085168,6.280297083,6.224236273,5.873423831,5.90858368,5.571316975,5.640102519,5.849483122,5.865651918,5.696073665,5.442630894,5.945427667,5.595070279,5.476765434,5.472989901,5.572649341,5.611284653,5.046599596,5.296949596,5.393600403,5.002174211,4.699381907,4.733662496,4.998221364,4.357240126,4.30703579,4.117489823
Channel Islands,CHI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,2.509652817,2.321075596,2.367010235,2.483157938,2.689741811,2.90282435,3.324776296,3.814010139,3.84848448,4.056171947,3.833506699,3.43772838,3.517039182,3.508135131,3.73249299,3.82001803,3.963081057,4.333797151,4.300340466,3.956216401,4.234476106,4.59822558,4.653625241,4.736431087,4.454138162,4.632585658,4.713171921
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,2.152000537,2.228662125,2.306095614,2.442800659,2.565993892,2.755754966,2.844309582,2.820567891,2.67674598,2.648649247,2.696862433,2.742120813,3.007083197,3.524074093,4.037990651,4.523178064,4.980314197,5.082123622,5.701915025,5.677170257,6.560520007,7.241515419,7.424750916,7.557211045,7.543907641,7.398524566,7.175809897
Cote d'Ivoire,CIV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.422209051,0.369001603,0.319979027,0.402850348,0.341192447,0.466129996,0.534604712,0.500221834,0.443396718,0.390885668,0.412726893,0.458455888,0.422848418,0.310243409,0.426478538,0.426346238,0.37305611,0.353478286,0.345647505,0.282074856,0.339322893,0.344577055,0.431247827,0.483620536,0.489631014,0.471910597,0.406063977
Cameroon,CMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.057899567,0.008459116,0.222669165,0.228330725,0.218119,0.239433741,0.259326068,0.224195366,0.217921459,0.203822084,0.221240439,0.21478626,0.20893307,0.225901762,0.229249619,0.208439099,0.211886527,0.311484739,0.287986298,0.339833528,0.33332691,0.301338806,0.280419195,0.227388469,0.299738143,0.340283663,0.346522621
"Congo, Dem. Rep.",COD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.124062584,0.087926522,0.07572892,0.068964382,0.042634265,0.051155667,0.054631188,0.043089813,0.037201477,0.029067928,0.019305807,0.016279758,0.017573365,0.020821622,0.022457135,0.02737571,0.028452967,0.030049313,0.03077524,0.028009591,0.031294864,0.03735382,0.034852593,0.050309039,0.063330889,0.037225719,0.025644617
"Congo, Rep.",COG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.504132621,0.522277335,0.631796517,0.603079528,0.816329926,0.578314904,0.616034834,0.817225036,0.263379733,0.270339349,0.335345115,0.238166239,0.173912899,0.269084528,0.270548827,0.271271608,0.298636286,0.313142347,0.326342657,0.419298927,0.461621473,0.51231352,0.656941447,0.700438764,0.666519808,0.665272611,0.65889694
Colombia,COL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,1.732107306,1.692051922,1.802576298,1.824446476,1.889645926,1.636794764,1.632508097,1.72065293,1.71974071,1.449048809,1.461619449,1.397899149,1.361734624,1.384189912,1.30884744,1.429045579,1.456923175,1.427394162,1.53855823,1.637733487,1.703569292,1.684649699,1.740272881,1.994413199,1.845475959,1.980399139,2.030532105
Comoros,COM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.151457504,0.155721539,0.151234511,0.155079083,0.150716994,0.154272035,0.157598741,0.160720227,0.170761664,0.173348486,0.189314418,0.184706272,0.180298132,0.226353755,0.239461311,0.227828399,0.257569541,0.160026184,0.161805094,0.196081111,0.233942107,0.192025124,0.19756697,0.237376687,0.202812784,0.21697555,0.253503052
Cabo Verde,CPV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.282118657,0.285963088,0.29892033,0.300530251,0.302005542,0.313269512,0.361570337,0.362836696,0.382243997,0.436078316,0.50527572,0.538634731,0.620892604,0.684613162,0.722772039,0.950344685,1.008255004,1.065225445,0.976154329,1.077485611,1.131390388,1.234937537,1.001605194,0.974526525,0.948113817,0.943404676,1.021783088
Costa Rica,CRI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.94748052,1.042124116,1.153706048,1.172205422,1.523484215,1.372461525,1.307349047,1.341002525,1.397820177,1.42133612,1.381705453,1.428049411,1.542475173,1.591302752,1.640325621,1.602680619,1.633748883,1.844061519,1.821535135,1.748029084,1.653498575,1.591668491,1.565202005,1.627764831,1.635675761,1.549914766,1.637646665
Caribbean small states,CSS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,5.23512714,5.310161022,5.548957395,5.381922682,5.284388587,5.36926904,5.981272191,5.670767911,5.785499049,6.347615574,6.564415209,6.982237034,7.104746051,7.654365205,7.838904051,8.430157606,9.192183465,9.337352615,9.311192593,8.911419789,9.381521211,9.104854517,8.871625759,9.160637887,8.881443548,8.760024076,8.490805688
Cuba,CUB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,3.110569353,2.722367889,1.972102719,1.842114776,1.972476353,2.361199667,2.467842666,2.242964069,2.219395831,2.285285534,2.344271343,2.279749768,2.329599824,2.269590762,2.222618822,2.309299351,2.35365352,2.307209272,2.486661219,2.51245169,3.038892886,2.614653986,2.642483531,2.477553374,2.443066279,2.58233029,2.495218264
Curacao,CUW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,39.44566304,33.89940321,37.72628905,40.48137739,33.76146157
Cayman Islands,CYM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,9.851295828,10.22295057,11.22012239,11.47947986,12.01743462,11.28623391,11.30295024,11.25779954,11.1935871,10.61452251,11.00888826,10.59995448,10.67328174,10.38008235,9.645568035,9.602789225,9.53969255,10.9420811,10.8301694,10.07526843,9.835262564,10.13718511,9.080735439,8.933157579,8.979473442,9.030263755,8.732487334
Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,6.141841733,6.25585731,6.604723143,6.839128374,7.508258174,6.396157043,6.93999471,6.591786263,7.045854417,6.886173041,7.397832056,7.167688248,7.187885122,7.798570398,7.258454011,7.300729228,7.449694741,7.704846138,7.930294398,7.386876948,6.92787243,6.601579968,6.096342351,5.199799627,5.260461605,5.287370638,5.662572734
Czech Republic,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,13.3903072,12.83965002,12.16751705,11.99069327,12.15218607,12.36493548,11.89897316,10.88597501,12.07224051,12.106198,11.73830862,11.9715307,11.45004644,11.76101358,11.9243967,11.97109098,11.23942273,10.31323737,10.76390766,10.28889525,9.832826758,9.702266881,9.231128627,9.468220309,9.673898662
Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,11.62264617,11.06332025,10.81424893,10.62839192,10.57946663,10.8602336,10.5111126,10.42527316,10.01775877,10.09563988,10.3662867,10.0586725,9.971664889,9.888594551,9.673397699,9.914503042,9.496553659,9.490868973,8.797641866,9.267661332,9.091375416,9.177915792,9.398671707,8.895302257,8.900419299,8.840128794
Djibouti,DJI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.546573667,0.555932002,0.548511188,0.545459543,0.530282824,0.523534712,0.518441585,0.527136487,0.501174935,0.487204543,0.511020313,0.500262614,0.535119193,0.555137229,0.527521277,0.529037834,0.516892934,0.573643834,0.61089865,0.553711361,0.615387087,0.554126048,0.553343025,0.647635609,0.681419523,0.686063241,0.6670057
Dominica,DMA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.833184226,0.833716998,0.83170787,0.880108992,0.929099278,1.134687333,1.033889703,1.142707404,1.097200256,1.155208706,1.474170854,1.579219362,1.47022352,1.673951498,2.031954193,2.025995552,2.022299839,2.589872166,2.329831844,2.277286136,2.431628996,2.171780698,2.325301205,2.375267545,2.476134206,2.472725229,2.519850786
Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,9.770698699,11.69331148,10.5045545,10.99825503,11.7169489,10.92454083,13.71465193,11.64768852,11.22730415,10.36266364,9.613175554,9.875092348,9.68193193,10.38827349,9.362701019,8.683987178,10.11898393,9.213429503,8.632128791,8.054911965,8.258492419,7.29835805,6.514800847,6.634640099,5.873333894,5.422285595,5.549144642
Dominican Republic,DOM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,1.293873521,1.381478401,1.474553011,1.558841009,1.623582732,2.031582325,2.1786862,2.232566223,2.239637803,2.224826127,2.336211672,2.304615367,2.444813767,2.430906034,2.040163268,2.048899025,2.146017882,2.267220596,2.189791897,2.112115223,2.168401096,2.218164291,2.211814203,2.137089301,2.178516992,2.347495156,2.429209493
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,2.988109843,2.994245635,2.964986363,2.974812411,3.062919622,3.313688067,3.317745825,2.936511706,3.543876554,3.005719449,2.830379965,2.677772173,2.822388898,2.838319656,2.707388281,3.236168271,3.004365149,3.202067336,3.173224552,3.435787368,3.312560602,3.30557127,3.477108092,3.525557358,3.735802777,3.854556576,3.69915599
East Asia & Pacific (excluding high income),EAP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,1.835737083,1.91379266,1.979145188,2.091161933,2.181129124,2.339606866,2.421105552,2.42017251,2.254627675,2.246672401,2.305961144,2.36303674,2.555003959,2.932714711,3.31507895,3.655987021,3.961866935,4.039533864,4.492909403,4.4818125,5.088742237,5.579746638,5.708742627,5.746777185,5.710262977,5.682753291,5.562986278
Early-demographic dividend,EAR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,1.40185075,1.484056986,1.497141021,1.540333516,1.563310234,1.555954665,1.601903664,1.618713992,1.629980162,1.680706592,1.713663061,1.704666963,1.707109927,1.766450294,1.826448921,1.859746265,1.930016356,1.974925429,2.081482374,2.13193063,2.123035505,2.17420495,2.260197964,2.187684539,2.273706342,2.34118431,2.345692627
East Asia & Pacific,EAS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,2.622281133,2.695037467,2.779078445,2.893887058,3.01465256,3.160256523,3.264662166,3.278964439,3.077570175,3.108684383,3.195115696,3.227469089,3.418093463,3.751986543,4.108031288,4.393372108,4.661983748,4.756021086,5.147016578,5.089332769,5.686410303,6.134879644,6.25506121,6.290310164,6.232051198,6.18777668,6.071788628
Europe & Central Asia (excluding high income),ECA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,16.91289952,16.17075401,9.974633085,9.106410435,7.934755212,7.656170574,7.470797254,6.996641334,6.916044011,6.972473069,7.070263915,7.054244553,7.095185217,7.403174233,7.492868027,7.534817421,7.800315722,7.899151745,8.013133852,7.281325428,7.767354713,8.098978641,8.155190195,7.865177658,7.711467512,7.484060734,7.583597179
Europe & Central Asia,ECS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,11.58698302,11.32711133,9.026236159,8.561824935,8.00361292,7.934339437,7.976261468,7.668576333,7.639161914,7.577246908,7.627069792,7.714942469,7.685769192,7.888127614,7.914199659,7.894321736,8.025237103,7.962301311,7.907889651,7.235116317,7.543320982,7.511157131,7.452913808,7.247528046,6.959796466,6.865377973,6.882181867
Ecuador,ECU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,1.644802224,1.575351863,2.079173552,2.208269131,1.218079923,1.994005781,2.067063089,1.53627099,1.841248424,1.727676846,1.633810349,1.789962374,1.89830216,2.017035713,2.136325251,2.188925641,2.052671013,2.233048279,2.33000964,2.441287187,2.428931904,2.393286737,2.101982396,2.638983709,2.893262958,2.669044326,2.495570554
"Egypt, Arab Rep.",EGY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,1.345700659,1.352889371,1.370058599,1.548598481,1.391815107,1.531180799,1.480830436,1.667412297,1.846565185,1.857246054,2.053217709,1.78826769,1.779303147,2.031736645,2.034616425,2.213982578,2.323117698,2.417069964,2.493673565,2.548036898,2.449400701,2.572041784,2.5468908,2.425236458,2.519807397,2.429419735,2.525862866
Euro area,EMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,8.482668698,8.229172194,8.031653852,7.968738605,8.09689049,8.281956292,8.159996226,8.290946592,8.179318246,8.207584254,8.378539153,8.335182767,8.413522538,8.442607609,8.35385362,8.317754571,8.132447198,7.902746655,7.283889642,7.426659572,7.156375347,6.99436984,6.846647273,6.476254786,6.590380058,6.54514044
Eritrea,ERI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,0.320676334,0.361006741,0.39400236,0.352471029,0.267575434,0.276982933,0.26553732,0.265599089,0.243869752,0.274922116,0.283134477,0.271133872,0.188489157,0.188456938,0.132897934,0.161023039,0.158457436,0.180271017,,,,,
Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,5.624190007,5.790484006,5.973836221,5.570288803,5.901638793,6.082242269,5.848744212,6.292802734,6.5022035,6.991264687,7.257824346,7.290748328,7.591280782,7.611166445,7.908050681,8.097058048,7.88419571,7.920890716,7.165531607,6.216973378,5.816416366,5.788018458,5.660938803,5.084398353,5.033824487,5.393418949,5.249157873
